scale,mean,var
9306.468852051938,20245.907196840744,86610362.49421293
7296.9093811768425,14633.844692585279,53244886.517106615
7122.219286082512,25496.501804316744,50726007.55904568
8993.359833307943,19148.372438210663,80880521.09135668
8084.082053742151,26232.305576360046,65352382.65163592
7052.852340546437,22204.53455436781,49742726.13755135
7361.697264177709,21933.200040852455,54194586.60940157
10164.720913263369,20531.126097909717,103321551.24453369
7315.268023451153,9990.061687206373,53513146.254926935
5614.172420906455,13616.774154013754,31518931.971666645
7156.909075423356,21361.977122625452,51221347.5138772
9110.237535886838,17667.870225369374,82996427.96028148
10216.859395914094,21912.568666167357,104384215.9158781
4674.804508854185,9940.466943555526,21853797.196003415
5602.359645962179,15634.250425546401,31386433.602705464
4984.228560304804,7181.97085858242,24842534.341358095
5548.729372463165,6890.836930618914,30788397.64883547
3564.571304745528,5324.617893375093,12706168.586615235
3963.0197905630885,11944.171580309117,15705525.860394707
5738.138988208538,10794.604956764486,32926239.0479989
5483.782303792771,10955.979165248178,30071868.355390754
3257.672244491225,14165.956560223327,10612428.452528495
4548.578561082101,18047.091849935317,20689566.926335722
7558.523601216362,21293.5011234425,57131279.030144766
5458.9597193210375,10946.86968066998,29800241.217169616
5536.216117303807,12736.26833253898,30649688.897494435
6239.049233121359,14904.375570232178,38925735.33331222
8223.735761291835,28738.350037448083,67629829.8715502
8101.082113245276,26269.757064070265,65627531.40554254
6084.952082786913,14588.621706270851,37026641.84981278
6143.504670978222,20550.008579015455,37742649.64233123
6630.929140602759,26113.300061278682,43969221.267694846
7934.610614287611,20053.13031933002,62958045.60036561
6067.173133835079,16324.00687682985,36810589.835930176
11116.79050623386,38443.353714168996,123583031.15949126
7351.875009821159,27746.655545720707,54050066.160032876
6218.31358490754,21972.662967249948,38667423.84024566
7750.540961729654,28427.716347790563,60070885.199449226
7981.92924960492,30480.73296112208,63711194.54569856
9029.213561018638,18033.065908626675,81526697.53048287
5527.738652168135,6884.804248655273,30555894.606673587
7662.845739103119,22996.737931504053,58719204.82129082
7779.450402613541,14414.125825560019,60519848.56672399
7836.711719762067,22071.732075985565,61414050.57865614
9335.61183006652,20264.235922925036,87153648.24167797
7012.420983380287,27788.027098794853,49174048.04815215
5244.569920379428,20014.614897528427,27505513.649748683
5384.791397674353,16682.929461428474,28995978.39646771
10823.481171437094,20943.62681282767,117147744.66845326
10382.130697012526,22255.835024171036,107788637.80984978
11545.905008566036,32346.84905018043,133307922.46683027
7874.002951603894,14807.347722475659,61999922.48186684
7942.139894071703,20043.34452236672,63077586.09700527
7124.805038279125,20776.013208960307,50762846.83348761
6086.774158820337,14283.878872472254,37048819.660483025
11587.407645325862,24599.876353237556,134268015.93895623
9118.80909792682,17658.64860080343,83152679.36443295
8927.349256601396,19631.871791380134,79697564.7493415
7005.0823905681145,17197.781098931027,49071179.298647486
9667.417270336779,19397.5783345816,93458956.6788058
9260.260097263565,21299.978143936816,85752417.0689718
5282.608997916461,11056.821270511336,27905957.824867953
5644.417488714644,13823.531354258868,31859448.78690772
6096.786247717433,14320.176959215632,37170802.55035642
7850.561928876823,22082.015592020154,61631322.59913018
6654.819689411271,22527.762102539662,44286625.09857593
5815.690275663363,23774.31701504732,33822253.3824454
7176.804774579046,18151.068768298494,51506526.7724206
8244.870610143682,28763.901273234835,67977891.37801106
7930.414385307731,29097.57302376251,62891472.32269581
6821.680197593647,21376.46047525022,46535320.7182413
11010.180480363784,18071.24000817049,121224074.2101837
10219.367973759354,20566.72254374617,104435481.78309835
8260.170260185152,20466.245046639884,68230412.72724725
7301.862618523633,20057.608497310546,53317197.6997928
11648.136784950102,24639.551984748417,135679090.56090772
14475.680971792737,35087.22897800776,209545339.59712234
8630.980269235346,23554.398107169607,74493820.40792984
7632.524160723418,23854.470960713556,58255425.06402673
6497.852017265372,13117.264587730646,42222080.838279665
9102.641277185243,18079.403690338393,82858078.22111659
6715.808776831988,16649.343637230202,45102087.52697357
5992.927574649302,22686.341866957173,35915180.91499197
6216.9152651446075,15629.760740791176,38650035.41398805
7636.1616402985155,21350.45870497719,58310964.59676652
5151.678497850121,23838.208892217608,26539791.345211275
5203.11094307579,20735.193300197454,27072363.485955033
6193.53767682262,15609.872608429223,38359908.95422133
5740.664980801242,10803.403486076122,32955234.421797715
5111.639422143325,13075.095526656227,26128857.58200974
5413.42422924129,10734.450534486281,29305161.88573665
7191.5845364168,18164.787090624362,51718888.144429244
9062.711206422546,19197.216654183972,82132734.41101679
6770.600281236202,12510.1367195479,45841028.16827574
5808.7429289643605,12557.07190032001,33741494.414793454
5935.99494858328,16764.177776264725,35236036.02960622
7890.680500496047,14823.44508749234,62262838.76090855
6689.526199092398,13807.438755361885,44749760.76834359
10370.844391201479,23757.500578743107,107554413.38651517
7147.025617411848,19279.493089126438,51079975.1759412
7345.656534371678,27780.547150541293,53958669.920957334
10819.126085454878,34694.89739225165,117053489.2529702
7785.157916381214,23416.602709879484,60608683.78299308
6481.265014897568,13107.790358820726,42006796.193335176
5009.543620671888,7194.844147885886,25095527.28741441
6346.352112110544,19529.410226731125,40276185.13088996
5185.026039267085,10410.581398515695,26884495.02787772
6109.287510667128,14339.697828011167,37323393.88799336
8364.316932974012,15976.726969428746,69961797.75523579
5777.2966567914655,18751.760400354055,33377156.660573844
4605.722424114417,10939.23136106761,21212679.047990378
3213.3815677384364,15208.998229726969,10325821.099881131
5386.603156030745,16692.165452440935,29015493.560560383
5663.383287098198,20903.74991489072,32073910.25658319
6814.853761911944,28049.02110710152,46442231.796245374
5955.130013457101,16753.860284605435,35463573.477177575
6678.745687337711,26166.221147953973,44605643.956132084
7637.420472740291,28870.008034316063,58330191.477432534
5792.083844069845,15995.58003676721,33548235.256734915
7588.8970686807515,23796.2916865255,57591358.719031304
5588.298930949435,15613.86021651801,31229084.9416506
7195.516890985129,21812.238442159734,51775463.3284523
6402.079886187781,20184.705930414653,40986626.86913015
5630.042718495094,13807.924559133928,31697381.012079626
6018.145705538438,16302.085790154559,36218077.73309074
4808.740365057002,10890.819159801185,23123983.898528554
4068.244490056437,12969.026281745762,16550613.230874557
4585.857852824806,10913.363382583237,21030092.246314947
5239.609226258143,20016.83876897937,27453504.843889456
6840.674623897137,22395.97582896439,46794829.310030244
6005.2072030201225,20604.436508476883,36062513.55120476
5802.735774382949,12531.613876217063,33671742.467303686
6145.605469707667,20548.517872948865,37768466.5893008
11584.46980740018,24039.96459453939,134199940.7185664
6705.959108309294,12202.232110029277,44969887.56231637
7284.071362966711,20026.83121127528,53057695.62079171
7165.377978327311,21388.2666984408,51342641.57229799
8496.4965012919,29964.803635868455,72190452.79646549
9844.30957893569,25986.26533669231,96910431.08592498
7014.533929162517,17203.56771294342,49203686.243372135
8631.996606280787,27314.643085722066,74511365.41084303
9272.787337696556,24918.554572070538,85984585.01014559
6414.549687691237,20210.0684959488,41146447.695859745
5177.608757725939,10400.80949138694,26807632.44808034
7785.642913589376,14432.507251310682,60616235.57792446
9278.470678882855,13859.9247633962,86090018.13888888
8858.911547984539,19700.23612718731,78480313.81501383
5422.93782841211,10736.600258732213,29408254.690823056
6242.900347129446,14935.127323483353,38973804.744188964
8770.781007062798,24196.16347790563,76926599.47385351
9164.154226651157,19508.725062980866,83981722.68984827
5184.624062114136,20695.4876421325,26880326.665452886
4539.929607706642,18046.120106216382,20610960.842931382
8854.859330358766,29471.148158235173,78408533.76044169
9151.874090525565,19492.562674474026,83756799.36883315
6819.558774168317,21372.645604956764,46506381.87433608
7370.625346597561,21950.072581194254,54326117.99990641
8196.673909153176,14399.55348267175,67185463.17299242
6712.367873967543,12214.899026349833,45055882.475471556
5778.046945195831,15975.0524954041,33385826.500886865
6080.281551174714,14284.080751685164,36969823.74155559
5736.092205757659,12976.386668482332,32902753.792953763
10597.88375455341,23317.952543065298,112315140.07502708
7786.45892729728,23389.845237284673,60628942.6264875
7992.0432903306455,30501.48914005583,63872755.954519086
25548.467020398293,53290.29856335535,652724167.0923793
19389.983577469215,27265.330700619597,375971463.13452584
5991.899294457012,22637.309048818683,35902857.15491444
3959.7219290684816,11947.037175733642,15679397.755545815
16455.450774157096,50815.22339483898,270781860.1807074
8873.591980723544,19694.48628038401,78740634.64036119
5818.850805184447,23773.10757813032,33859024.69299569
7135.3900412207695,25541.245659426702,50913791.04035254
12712.423097679235,38765.6995982842,161605701.0144085
6006.5785403935515,20618.662218288282,36078985.761916324
